"image","before_bytes","after_bytes","width","height","alpha_channel","declared_display_context","loading","decision"
"src/assets/brand/aevic-brand-board-source.png","1635234","1635234","1535","1024","false","Official identity: navigation 54–72 CSS px; source artwork retained for larger uses","Critical brand mark","Unchanged official identity bytes"
"src/assets/brand/aevic-phoenix-144.png","17452","17452","144","144","true","Official identity: navigation 54–72 CSS px; source artwork retained for larger uses","Critical brand mark","Unchanged official identity bytes"
"src/assets/brand/aevic-phoenix-source.png","139280","139280","500","500","true","Official identity: navigation 54–72 CSS px; source artwork retained for larger uses","Critical brand mark","Unchanged official identity bytes"
"src/assets/home/hero-1120.avif","105146","105146","1120","630","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Retained existing encoding"
"src/assets/home/hero-1120.jpg","195956","98234","1120","630","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Recompressed at unchanged pixel dimensions"
"src/assets/home/hero-1120.webp","138690","138690","1120","630","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Retained existing encoding"
"src/assets/home/hero-1672.avif","179758","179758","1672","941","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Retained existing encoding"
"src/assets/home/hero-1672.jpg","362252","186271","1672","941","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Recompressed at unchanged pixel dimensions"
"src/assets/home/hero-1672.webp","238964","238964","1672","941","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Retained existing encoding"
"src/assets/home/hero-480.avif","","11633","480","270","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Added responsive/modern variant"
"src/assets/home/hero-480.jpg","","22888","480","270","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Added responsive/modern variant"
"src/assets/home/hero-480.webp","","19504","480","270","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Added responsive/modern variant"
"src/assets/home/hero-640.avif","43843","43843","640","360","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Retained existing encoding"
"src/assets/home/hero-640.jpg","76196","38065","640","360","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Recompressed at unchanged pixel dimensions"
"src/assets/home/hero-640.webp","57394","57394","640","360","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Retained existing encoding"
"src/assets/home/hero-800.avif","","26389","800","450","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Added responsive/modern variant"
"src/assets/home/hero-800.jpg","","55802","800","450","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Added responsive/modern variant"
"src/assets/home/hero-800.webp","","44960","800","450","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Added responsive/modern variant"
"src/assets/home/participation-1280.avif","80289","80289","1280","480","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Retained existing encoding"
"src/assets/home/participation-1280.jpg","153359","74396","1280","480","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Recompressed at unchanged pixel dimensions"
"src/assets/home/participation-1280.webp","105136","105136","1280","480","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Retained existing encoding"
"src/assets/home/participation-2048.avif","157545","157545","2048","768","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Retained existing encoding"
"src/assets/home/participation-2048.jpg","323042","157151","2048","768","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Recompressed at unchanged pixel dimensions"
"src/assets/home/participation-2048.webp","209170","209170","2048","768","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Retained existing encoding"
"src/assets/home/participation-480.avif","","7043","480","180","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Added responsive/modern variant"
"src/assets/home/participation-480.jpg","","15367","480","180","false","Responsive artwork; width depends on viewport and sizes attribute","Hero eager/high; secondary sections lazy","Added responsive/modern variant"
